id,ident,type,name,lat,lon,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
3797,KPWT,medium_airport,Bremerton National Airport,47.49020004,-122.7649994,444,NA,United States,US,Washington,US-WA,WA,Bremerton,0,KPWT,PWT,PWT,https://en.wikipedia.org/wiki/Bremerton_National_Airport,https://en.wikipedia.org/wiki/Bremerton_National_Airport,,375,2016-01-14T23:19:51+00:00
19615,KDAG,medium_airport,Barstow Daggett Airport,34.85369873,-116.7870026,1930,NA,United States,US,California,US-CA,CA,Daggett,0,KDAG,DAG,DAG,,https://en.wikipedia.org/wiki/Barstow-Daggett_Airport,,250,2012-07-19T00:41:18+00:00
19963,KGMU,medium_airport,Greenville Downtown Airport,34.84790039,-82.34999847,1048,NA,United States,US,South Carolina,US-SC,SC,Greenville,0,KGMU,GMU,GMU,http://www.greenvilledowntownairport.com/,https://en.wikipedia.org/wiki/Greenville_Downtown_Airport,,250,2013-07-21T11:33:32+00:00
21109,KSSF,medium_airport,Stinson Municipal Airport,29.33699989,-98.47109985,577,NA,United States,US,Texas,US-TX,TX,San Antonio,0,KSSF,SSF,SSF,http://www.sanantonio.gov/SSF.aspx,https://en.wikipedia.org/wiki/Stinson_Municipal_Airport,,250,2015-07-04T20:33:00+00:00
19242,KAEG,small_airport,Double Eagle II Airport,35.14519882,-106.7949982,5837,NA,United States,US,New Mexico,US-NM,NM,Albuquerque,0,KAEG,,AEG,,https://en.wikipedia.org/wiki/Double_Eagle_II_Airport,,50,2008-06-27T17:47:27+00:00
19302,KARB,small_airport,Ann Arbor Municipal Airport,42.22299957,-83.74559784,839,NA,United States,US,Michigan,US-MI,MI,Ann Arbor,0,KARB,ARB,ARB,,https://en.wikipedia.org/wiki/Ann_Arbor_Municipal_Airport,,50,2012-06-17T18:51:08+00:00
19955,KGKY,small_airport,Arlington Municipal Airport,32.66389847,-97.09429932,628,NA,United States,US,Texas,US-TX,TX,Arlington,0,KGKY,,GKY,,https://en.wikipedia.org/wiki/Arlington_Municipal_Airport_(Texas),,50,2008-06-13T14:30:04+00:00
19757,KEMT,small_airport,San Gabriel Valley Airport,34.086102,-118.035004,296,NA,United States,US,California,US-CA,CA,El Monte,0,KEMT,EMT,EMT,http://www.americanairports.com/Locations/EMTElMonteAirportCA.aspx,https://en.wikipedia.org/wiki/El_Monte_Airport,El Monte Airport,50,2018-05-26T17:33:17+00:00
20397,KLXT,small_airport,Lee's Summit Municipal Airport,38.95970154,-94.37139893,1004,NA,United States,US,Missouri,US-MO,MO,Lee's Summit,0,KLXT,,LXT,,,,50,2010-01-26T11:10:24+00:00
19529,KCNY,small_airport,Canyonlands Field,38.75500107,-109.7549973,4557,NA,United States,US,Utah,US-UT,UT,Moab,0,KCNY,CNY,CNY,,https://en.wikipedia.org/wiki/Canyonlands_Field,,50,2014-02-18T22:39:34+00:00
20732,KOKB,small_airport,Oceanside Municipal Airport,33.217947,-117.351683,28,NA,United States,US,California,US-CA,CA,Oceanside,0,KOKB,OCN,OKB,http://www.oceansidemunicipalairport.com/,https://en.wikipedia.org/wiki/Oceanside_Municipal_Airport,Bob Maxwell Field,50,2021-10-01T16:00:54+00:00
20707,KO88,small_airport,Rio Vista Municipal Airport,38.19340134,-121.7040024,20,NA,United States,US,California,US-CA,CA,Rio Vista,0,KO88,,O88,,https://en.wikipedia.org/wiki/Rio_Vista_Municipal_Airport,,50,2008-06-13T14:30:04+00:00
